func,classification
mutate,data cleaning
paste0,setup
str_extract,data cleaning
str_extract,data cleaning
select,data cleaning
unlist,data cleaning
unname,data cleaning
unique,data cleaning
length,data cleaning
library,setup
library,setup
load,setup
load,setup
load,setup
load,setup
names,setup
filter,data cleaning
table,evaluation
load,setup
load,setup
filter,data cleaning
filter,data cleaning
filter,data cleaning
filter,data cleaning
filter,data cleaning
filter,data cleaning
table,evaluation
filter,data cleaning
filter,data cleaning
filter,data cleaning
names,setup
left_join,data cleaning
filter,data cleaning
filter,data cleaning
select,data cleaning
unlist,data cleaning
sum,data cleaning
table,evaluation
rm,setup
names,setup
unzip,setup
filter,data cleaning
filter,data cleaning
filter,data cleaning
filter,data cleaning
filter,data cleaning
filter,data cleaning
filter,data cleaning
filter,data cleaning
filter,data cleaning
filter,data cleaning
filter,data cleaning
names,setup
names,setup
as.character,data cleaning
unlist,data cleaning
as.character,data cleaning
mutate,data cleaning
as.character,data cleaning
mutate,data cleaning
as.character,data cleaning
left_join,data cleaning
left_join,data cleaning
filter,data cleaning
left_join,data cleaning
lapply,data cleaning
names,setup
table,evaluation
which,exploratory
str_detect,exploratory
unlist,data cleaning
which,exploratory
str_detect,exploratory
unlist,data cleaning
library,setup
names,setup
table,evaluation
str,exploratory
table,evaluation
rm,setup
unique,data cleaning
unname,data cleaning
str,exploratory
filter,data cleaning
names,setup
names,setup
names,setup
filter,data cleaning
table,evaluation
names,setup
paste0,setup
filter,data cleaning
str_detect,exploratory
select,data cleaning
left_join,data cleaning
mutate,data cleaning
as.character,data cleaning
filter,data cleaning
arrange,data cleaning
as.numeric,data cleaning
as.numeric,data cleaning
load,setup
load,setup
names,setup
names,setup
mutate_all,data cleaning
left_join,data cleaning
names,setup
names,setup
names,setup
names,setup
filter,data cleaning
unique,data cleaning
filter,data cleaning
unique,data cleaning
filter,data cleaning
unique,data cleaning
filter,data cleaning
unique,data cleaning
names,setup
load,setup
load,setup
load,setup
load,setup
table,evaluation
table,evaluation
table,evaluation
table,evaluation
names,setup
names,setup
table,evaluation
filter,data cleaning
filter,data cleaning
is.na,data cleaning
filter,data cleaning
is.na,data cleaning
filter,data cleaning
is.na,data cleaning
filter,data cleaning
is.na,data cleaning
filter,data cleaning
%in%,data cleaning
group_by,data cleaning
arrange,data cleaning
desc,data cleaning
filter,data cleaning
names,setup
filter,data cleaning
select,data cleaning
names,setup
names,setup
names,setup
names,setup
names,setup
left_join,data cleaning
mutate,data cleaning
order,data cleaning
group_by,data cleaning
filter,data cleaning
table,evaluation
is.na,data cleaning
table,evaluation
table,evaluation
table,evaluation
table,evaluation
str,exploratory
names,setup
table,evaluation
table,evaluation
table,evaluation
table,evaluation
summary,modeling
select,data cleaning
model.matrix,modeling
table,evaluation
select,data cleaning
select,data cleaning
spread,data cleaning
list.files,setup
tibble,data cleaning
for,data cleaning
mutate_all,data cleaning
bind_rows,data cleaning
group_by,data cleaning
mutate,data cleaning
sum,data cleaning
filter,data cleaning
ungroup,data cleaning
library,setup
library,setup
load,setup
bind_rows,data cleaning
group_by,data cleaning
summarize,data cleaning
sum,data cleaning
arrange,data cleaning
desc,data cleaning
ungroup,data cleaning
table,evaluation
list.files,setup
paste0,setup
lapply,data cleaning
paste0,setup
list.files,setup
paste0,setup
list.files,setup
paste0,setup
list.files,setup
for,data cleaning
length,data cleaning
if,data cleaning
rbind,setup
if,data cleaning
length,data cleaning
rm,setup
mutate_all,data cleaning
for,data cleaning
length,data cleaning
if,data cleaning
rbind,setup
if,data cleaning
length,data cleaning
rm,setup
mutate_all,data cleaning
for,data cleaning
length,data cleaning
if,data cleaning
rbind,setup
if,data cleaning
length,data cleaning
rm,setup
library,setup
strsplit,data cleaning
unlist,data cleaning
unlist,data cleaning
str_extract,data cleaning
which,exploratory
names,setup
names,setup
names,setup
load,setup
load,setup
load,setup
load,setup
load,setup
load,setup
load,setup
load,setup
load,setup
table,evaluation
list.files,setup
lapply,data cleaning
list.files,setup
for,data cleaning
length,data cleaning
if,data cleaning
rbind,setup
if,data cleaning
length,data cleaning
rm,setup
mutate_all,data cleaning
library,setup
library,setup
library,setup
filter,data cleaning
mutate_all,data cleaning
str_to_lower,data cleaning
mutate_all,data cleaning
mutate_all,data cleaning
mutate,data cleaning
unnest_tokens,setup
anti_join,data cleaning
tibble,data cleaning
count,data cleaning
summary,modeling
seq,setup
mutate,data cleaning
ifelse,data cleaning
ifelse,data cleaning
ifelse,data cleaning
left_join,data cleaning
filter,data cleaning
%in%,data cleaning
filter,data cleaning
%in%,data cleaning
group_by,data cleaning
summarize,data cleaning
sum,data cleaning
mutate,data cleaning
floor,data cleaning
floor,data cleaning
left_join,data cleaning
filter,data cleaning
%in%,data cleaning
select,data cleaning
left_join,data cleaning
filter,data cleaning
mutate,data cleaning
ifelse,data cleaning
filter,data cleaning
%in%,data cleaning
group_by,data cleaning
summarize,data cleaning
sum,data cleaning
mutate,data cleaning
floor,data cleaning
floor,data cleaning
library,setup
library,setup
load,setup
select,data cleaning
filter,data cleaning
%in%,data cleaning
seq,setup
mutate,data cleaning
ifelse,data cleaning
inner_join,data cleaning
group_by,data cleaning
summarize,data cleaning
sum,data cleaning
left_join,data cleaning
select,data cleaning
group_by,data cleaning
mutate,data cleaning
ifelse,data cleaning
is.na,data cleaning
mean,exploratory
group_by,data cleaning
mutate,data cleaning
ifelse,data cleaning
is.na,data cleaning
mean,exploratory
ungroup,data cleaning
rename,data cleaning
strsplit,data cleaning
unlist,data cleaning
substr,data cleaning
sub,data cleaning
which,exploratory
list.files,setup
paste0,setup
list,data cleaning
list.files,setup
list.files,setup
list.files,setup
list.files,setup
tibble,data cleaning
for,data cleaning
bind_rows,data cleaning
tibble,data cleaning
for,data cleaning
bind_rows,data cleaning
tibble,data cleaning
for,data cleaning
bind_rows,data cleaning
tibble,data cleaning
for,data cleaning
bind_rows,data cleaning
unlink,setup
bind_rows,data cleaning
names,setup
for,data cleaning
seq,setup
length,data cleaning
seq,setup
length,data cleaning
paste,data cleaning
paste,data cleaning
summary,modeling
lm,modeling
table,evaluation
table,evaluation
t.test,exploratory
t.test,exploratory
str,exploratory
unlist,data cleaning
mean,exploratory
unlist,data cleaning
mean,exploratory
filter,data cleaning
is.na,data cleaning
nrow,data cleaning
filter,data cleaning
is.na,data cleaning
nrow,data cleaning
unlist,data cleaning
var,modeling
unlist,data cleaning
var,modeling
unlist,data cleaning
mean,exploratory
unlist,data cleaning
mean,exploratory
filter,data cleaning
is.na,data cleaning
nrow,data cleaning
filter,data cleaning
is.na,data cleaning
nrow,data cleaning
unlist,data cleaning
var,modeling
unlist,data cleaning
var,modeling
as.data.frame,data cleaning
summary,modeling
summary,modeling
summary,modeling
summary,modeling
summary,modeling
summary,modeling
function,setup
for,data cleaning
which,exploratory
str_detect,exploratory
row.names,data cleaning
summary,modeling
if,data cleaning
print,evaluation
paste0,setup
tibble,data cleaning
return,data cleaning
mean,exploratory
sd,exploratory
summary,modeling
ggplot,exploratory
tibble,data cleaning
aes,exploratory
aes,exploratory
aes,exploratory
tibble,data cleaning
lm,modeling
lm,modeling
lm,modeling
lm,modeling
filter,data cleaning
lm,modeling
filter,data cleaning
lm,modeling
filter,data cleaning
filter,data cleaning
lm,modeling
filter,data cleaning
lm,modeling
filter,data cleaning
lapply,data cleaning
lapply,data cleaning
lapply,data cleaning
function,setup
unlist,data cleaning
str_detect,exploratory
names,setup
lapply,data cleaning
lapply,data cleaning
unlist,data cleaning
str_detect,exploratory
names,setup
rep,data cleaning
paste,data cleaning
rep,data cleaning
rep,data cleaning
tibble,data cleaning
rep,data cleaning
rep,data cleaning
rep,data cleaning
paste0,setup
mutate,data cleaning
factor,modeling
unique,data cleaning
factor,modeling
unique,data cleaning
factor,modeling
unique,data cleaning
unlist,data cleaning
factor,modeling
ggplot,exploratory
aes,exploratory
geom_point,exploratory
aes,exploratory
aes,exploratory
scale_color_manual,exploratory
rep,data cleaning
labs,exploratory
facet_wrap,exploratory
theme_bw,exploratory
theme,exploratory
library,setup
rm,setup
lapply,data cleaning
lapply,data cleaning
load,setup
log,data cleaning
exp,evaluation
exp,evaluation
mutate,data cleaning
t.test,exploratory
t.test,exploratory
filter,data cleaning
t.test,exploratory
unlist,data cleaning
tibble,data cleaning
names,setup
unlist,data cleaning
unlist,data cleaning
tibble,data cleaning
names,setup
unlist,data cleaning
unlist,data cleaning
tibble,data cleaning
names,setup
unlist,data cleaning
select,data cleaning
paste0,setup
select,data cleaning
t,data cleaning
as_tibble,setup
mutate_all,data cleaning
round,modeling
mutate,data cleaning
select,data cleaning
rm,setup
filter,data cleaning
is.na,data cleaning
ifelse,data cleaning
%in%,data cleaning
factor,modeling
filter,data cleaning
filter,data cleaning
lapply,data cleaning
lapply,data cleaning
lapply,data cleaning
function,setup
lapply,data cleaning
function,setup
str_detect,exploratory
row.names,data cleaning
lm,modeling
summary,modeling
summary,modeling
filter,data cleaning
is.na,data cleaning
mutate,data cleaning
ifelse,data cleaning
factor,modeling
filter,data cleaning
length,data cleaning
summary,modeling
summary,modeling
str,exploratory
table,evaluation
str,exploratory
list,data cleaning
rep,data cleaning
rep,data cleaning
list,data cleaning
lapply,data cleaning
lapply,data cleaning
function,setup
row.names,data cleaning
summary,modeling
str,exploratory
function,setup
if,data cleaning
which,exploratory
str_detect,exploratory
names,setup
which,exploratory
str_detect,exploratory
row.names,data cleaning
if,data cleaning
which,exploratory
str_detect,exploratory
names,setup
which,exploratory
str_detect,exploratory
row.names,data cleaning
summary,modeling
summary,modeling
if,data cleaning
return,data cleaning
unname,data cleaning
return,data cleaning
unname,data cleaning
lapply,data cleaning
lapply,data cleaning
function,setup
summary,modeling
unlist,data cleaning
lapply,data cleaning
function,setup
ifelse,data cleaning
unlist,data cleaning
tibble,data cleaning
t,data cleaning
as_tibble,setup
mutate_all,data cleaning
round,modeling
mutate,data cleaning
select,data cleaning
round,modeling
paste0,setup
round,modeling
paste0,setup
round,modeling
paste0,setup
round,modeling
paste0,setup
rm,setup
filter,data cleaning
summary,modeling
function,setup
if,data cleaning
if,data cleaning
sample,data cleaning
sample,data cleaning
sample,data cleaning
list,data cleaning
cor,modeling
mean,exploratory
for,data cleaning
summary,modeling
unname,data cleaning
unname,data cleaning
unname,data cleaning
mutate,data cleaning
ifelse,data cleaning
abs,data cleaning
mean,exploratory
unlist,data cleaning
filter,data cleaning
mean,exploratory
unlist,data cleaning
filter,data cleaning
mean,exploratory
unlist,data cleaning
filter,data cleaning
summary,modeling
summary,modeling
summary,modeling
mean,exploratory
unlist,data cleaning
filter,data cleaning
mean,exploratory
unlist,data cleaning
filter,data cleaning
mean,exploratory
unlist,data cleaning
filter,data cleaning
summary,modeling
cor,modeling
ggplot,exploratory
filter,data cleaning
geom_point,exploratory
aes,exploratory
geom_point,exploratory
aes,exploratory
geom_point,exploratory
aes,exploratory
geom_point,exploratory
aes,exploratory
scale_x_continuous,exploratory
seq,setup
scale_y_continuous,exploratory
seq,setup
aes,exploratory
aes,exploratory
aes,exploratory
aes,exploratory
aes,exploratory
tibble,data cleaning
aes,exploratory
round,modeling
labs,exploratory
theme_bw,exploratory
theme,exploratory
library,setup
rm,setup
ls,setup
summary,modeling
summary,modeling
function,setup
try,data cleaning
which,exploratory
str_detect,exploratory
names,setup
which,exploratory
str_detect,exploratory
names,setup
try,data cleaning
which,exploratory
str_detect,exploratory
row.names,data cleaning
which,exploratory
str_detect,exploratory
row.names,data cleaning
summary,modeling
summary,modeling
if,data cleaning
return,data cleaning
if,data cleaning
return,data cleaning
if,data cleaning
return,data cleaning
unname,data cleaning
function,setup
list,data cleaning
list,data cleaning
list,data cleaning
dir.create,setup
function,setup
list,data cleaning
if,data cleaning
return,data cleaning
list,data cleaning
return,data cleaning
library,setup
library,setup
load,setup
load,setup
naiveBayes,modeling
factor,modeling
predict,modeling
confusionMatrix,evaluation
factor,modeling
factor,modeling
predict,modeling
confusionMatrix,evaluation
factor,modeling
factor,modeling
predict,modeling
confusionMatrix,evaluation
factor,modeling
factor,modeling
predict,modeling
confusionMatrix,evaluation
factor,modeling
function,setup
read_html,setup
html_table,setup
mutate,data cleaning
mutate,data cleaning
str_trim,data cleaning
str_detect,exploratory
str_detect,exploratory
mutate,data cleaning
function,setup
function,setup
read_html,setup
str_trim,data cleaning
str_trim,data cleaning
str_trim,data cleaning
str_trim,data cleaning
data.frame,setup
tibble,data cleaning
mutate_all,data cleaning
html_table,setup
select,data cleaning
html_node,setup
mutate,data cleaning
html_node,setup
paste,data cleaning
paste,data cleaning
tibble,data cleaning
html_node,setup
ifelse,data cleaning
str_detect,exploratory
which,exploratory
length,data cleaning
lapply,data cleaning
function,setup
str_trim,data cleaning
matrix,data cleaning
data.frame,setup
tibble,data cleaning
bind_rows,data cleaning
mutate_all,data cleaning
str_trim,data cleaning
filter,data cleaning
bind_rows,data cleaning
bind_rows,data cleaning
function,setup
function,setup
read_html,setup
str_trim,data cleaning
data.frame,setup
tibble,data cleaning
mutate_all,data cleaning
str_trim,data cleaning
html_node,setup
html_table,setup
filter,data cleaning
str_detect,exploratory
select,data cleaning
mutate,data cleaning
gsub,data cleaning
bind_rows,data cleaning
function,setup
function,setup
read_html,setup
as.data.frame,data cleaning
with,evaluation
str_split,data cleaning
unlist,data cleaning
tibble,data cleaning
mutate,data cleaning
ifelse,data cleaning
ifelse,data cleaning
function,setup
rm,setup
ls,setup
library,setup
seq,setup
rep,data cleaning
length,data cleaning
rep,data cleaning
length,data cleaning
rep,data cleaning
length,data cleaning
for,data cleaning
length,data cleaning
rep,data cleaning
rep,data cleaning
rep,data cleaning
rep,data cleaning
rep,data cleaning
rep,data cleaning
for,data cleaning
data.frame,setup
lm,modeling
subset,data cleaning
lm,modeling
subset,data cleaning
lm,modeling
subset,data cleaning
summary,modeling
summary,modeling
summary,modeling
summary,modeling
summary,modeling
summary,modeling
mean,exploratory
mean,exploratory
mean,exploratory
print,evaluation
plot,exploratory
points,evaluation
points,evaluation
rm,setup
ls,setup
setwd,setup
library,setup
library,setup
library,setup
library,setup
library,setup
library,setup
library,setup
library,setup
library,setup
library,setup
library,setup
library,setup
options,setup
function,setup
sqrt,data cleaning
return,data cleaning
function,setup
length,data cleaning
unique,data cleaning
length,data cleaning
sqrt,data cleaning
return,data cleaning
function,setup
return,data cleaning
data,setup
subset,data cleaning
log,data cleaning
log,data cleaning
log,data cleaning
lm,modeling
list,data cleaning
lm,modeling
list,data cleaning
lm,modeling
list,data cleaning
list,data cleaning
I,modeling
list,data cleaning
summary,modeling
set.seed,exploratory
length,data cleaning
lm,modeling
list,data cleaning
summary,modeling
summary,modeling
rm,setup
library,setup
library,setup
library,setup
library,setup
lapply,data cleaning
download.file,setup
paste0,setup
lapply,data cleaning
paste0,setup
list.files,setup
lapply,data cleaning
paste0,setup
list.files,setup
list.files,setup
list.files,setup
for,data cleaning
length,data cleaning
paste0,setup
if,data cleaning
rbind,setup
print,evaluation
paste0,setup
length,data cleaning
if,data cleaning
length,data cleaning
rm,setup
for,data cleaning
length,data cleaning
paste0,setup
if,data cleaning
rbind,setup
print,evaluation
paste0,setup
length,data cleaning
if,data cleaning
length,data cleaning
rm,setup
for,data cleaning
length,data cleaning
paste0,setup
if,data cleaning
rbind,setup
print,evaluation
paste0,setup
length,data cleaning
if,data cleaning
length,data cleaning
rm,setup
rm,setup
unlink,setup
strsplit,data cleaning
strsplit,data cleaning
lapply,data cleaning
unlist,data cleaning
substr,data cleaning
sub,data cleaning
strsplit,data cleaning
lapply,data cleaning
unlist,data cleaning
sub,data cleaning
strsplit,data cleaning
lapply,data cleaning
unlist,data cleaning
sub,data cleaning
names,setup
names,setup
names,setup
bind_rows,data cleaning
rm,setup
library,setup
library,setup
library,setup
names,setup
filter,data cleaning
is.na,data cleaning
as.numeric,data cleaning
names,setup
filter,data cleaning
is.na,data cleaning
as.numeric,data cleaning
rbind,setup
rm,setup
mutate,data cleaning
mutate,data cleaning
mutate,data cleaning
mutate,data cleaning
str_extract,data cleaning
rm,setup
list.files,setup
match,data cleaning
unlist,data cleaning
match,data cleaning
names,setup
select,data cleaning
lapply,data cleaning
unlist,data cleaning
lapply,data cleaning
mutate,data cleaning
for,data cleaning
nrow,data cleaning
as.character,data cleaning
str_split,data cleaning
unlist,data cleaning
str_trim,data cleaning
if,data cleaning
str_detect,exploratory
which,exploratory
str_detect,exploratory
which,exploratory
str_detect,exploratory
which,exploratory
str_detect,exploratory
which,exploratory
str_detect,exploratory
unlist,data cleaning
str_detect,exploratory
which,exploratory
lapply,data cleaning
unlist,data cleaning
str_trim,data cleaning
mutate,data cleaning
for,data cleaning
nrow,data cleaning
as.character,data cleaning
str_split,data cleaning
unlist,data cleaning
str_trim,data cleaning
if,data cleaning
length,data cleaning
paste,data cleaning
min,data cleaning
if,data cleaning
length,data cleaning
paste,data cleaning
if,data cleaning
length,data cleaning
paste,data cleaning
if,data cleaning
length,data cleaning
paste,data cleaning
if,data cleaning
length,data cleaning
paste,data cleaning
if,data cleaning
is.na,data cleaning
unlist,data cleaning
paste,data cleaning
select,data cleaning
rm,setup
library,setup
library,setup
library,setup
library,setup
lapply,data cleaning
download.file,setup
lapply,data cleaning
paste0,setup
list.files,setup
list.files,setup
for,data cleaning
length,data cleaning
paste0,setup
if,data cleaning
rbind,setup
print,evaluation
paste0,setup
length,data cleaning
if,data cleaning
length,data cleaning
rm,setup
for,data cleaning
length,data cleaning
paste0,setup
if,data cleaning
rbind,setup
print,evaluation
paste0,setup
length,data cleaning
if,data cleaning
length,data cleaning
rm,setup
unlink,setup
strsplit,data cleaning
substr,data cleaning
str_trim,data cleaning
substr,data cleaning
str_trim,data cleaning
substr,data cleaning
str_trim,data cleaning
names,setup
names,setup
bind_rows,data cleaning
filter,data cleaning
filter,data cleaning
filter,data cleaning
filter,data cleaning
filter,data cleaning
library,setup
library,setup
library,setup
library,setup
function,setup
read_html,setup
tibble,data cleaning
tibble,data cleaning
function,setup
function,setup
list,data cleaning
as.character,data cleaning
if,data cleaning
read_html,setup
if,data cleaning
length,data cleaning
read_html,setup
str_extract,data cleaning
read_html,setup
as.character,data cleaning
str_extract,data cleaning
return,data cleaning
str_to_title,data cleaning
dir.create,setup
list,data cleaning
if,data cleaning
if,data cleaning
str_detect,exploratory
as.character,data cleaning
paste0,setup
read_html,setup
str_extract,data cleaning
as.numeric,data cleaning
if,data cleaning
is.na,data cleaning
if,data cleaning
try,data cleaning
return,data cleaning
function,setup
function,setup
list,data cleaning
as.character,data cleaning
if,data cleaning
read_html,setup
if,data cleaning
length,data cleaning
read_html,setup
str_extract,data cleaning
read_html,setup
as.character,data cleaning
str_extract,data cleaning
return,data cleaning
str_to_title,data cleaning
dir.create,setup
list,data cleaning
if,data cleaning
if,data cleaning
str_detect,exploratory
as.character,data cleaning
paste0,setup
read_html,setup
str_extract,data cleaning
as.numeric,data cleaning
if,data cleaning
is.na,data cleaning
if,data cleaning
try,data cleaning
return,data cleaning
library,setup
library,setup
library,setup
load,setup
load,setup
load,setup
bind_rows,data cleaning
select,data cleaning
unique,data cleaning
unlist,data cleaning
unname,data cleaning
sort,data cleaning
mutate,data cleaning
%in%,data cleaning
%in%,data cleaning
%in%,data cleaning
mutate,data cleaning
ifelse,data cleaning
%in%,data cleaning
filter,data cleaning
mutate,data cleaning
write_csv,data cleaning
rm,setup
ls,setup
library,setup
library,setup
library,setup
load,setup
load,setup
load,setup
load,setup
load,setup
load,setup
load,setup
mutate_all,data cleaning
mutate,data cleaning
mutate_all,data cleaning
mutate,data cleaning
mutate_all,data cleaning
mutate,data cleaning
mutate_all,data cleaning
mutate,data cleaning
mutate_all,data cleaning
mutate,data cleaning
mutate_all,data cleaning
mutate,data cleaning
mutate_all,data cleaning
mutate,data cleaning
names,setup
names,setup
names,setup
names,setup
names,setup
names,setup
names,setup
names,setup
names,setup
names,setup
names,setup
names,setup
names,setup
names,setup
names,setup
names,setup
rename,data cleaning
select,data cleaning
rename,data cleaning
rename,data cleaning
bind_rows,data cleaning
bind_rows,data cleaning
select,data cleaning
select,data cleaning
names,setup
names,setup
names,setup
select,data cleaning
bind_rows,data cleaning
mutate,data cleaning
as.numeric,data cleaning
group_by,data cleaning
mutate,data cleaning
sum,data cleaning
filter,data cleaning
ungroup,data cleaning
rm,setup
ls,setup
library,setup
library,setup
library,setup
strsplit,data cleaning
unlist,data cleaning
substr,data cleaning
sub,data cleaning
which,exploratory
list.files,setup
paste0,setup
lapply,data cleaning
list.files,setup
for,data cleaning
length,data cleaning
paste0,setup
if,data cleaning
rbind,setup
print,evaluation
paste0,setup
length,data cleaning
if,data cleaning
length,data cleaning
rm,setup
names,setup
unlink,setup
list.files,setup
paste0,setup
lapply,data cleaning
list.files,setup
for,data cleaning
length,data cleaning
paste0,setup
if,data cleaning
rbind,setup
print,evaluation
paste0,setup
length,data cleaning
if,data cleaning
length,data cleaning
rm,setup
names,setup
unlink,setup
list.files,setup
paste0,setup
lapply,data cleaning
list.files,setup
for,data cleaning
length,data cleaning
paste0,setup
if,data cleaning
rbind,setup
print,evaluation
paste0,setup
length,data cleaning
if,data cleaning
length,data cleaning
rm,setup
names,setup
unlink,setup
list.files,setup
paste0,setup
lapply,data cleaning
list.files,setup
for,data cleaning
length,data cleaning
paste0,setup
if,data cleaning
rbind,setup
print,evaluation
paste0,setup
length,data cleaning
if,data cleaning
length,data cleaning
rm,setup
names,setup
unlink,setup
unzip,setup
list.files,setup
for,data cleaning
length,data cleaning
paste0,setup
if,data cleaning
rbind,setup
print,evaluation
paste0,setup
length,data cleaning
if,data cleaning
length,data cleaning
rm,setup
names,setup
unlink,setup
list.files,setup
paste0,setup
lapply,data cleaning
list.files,setup
for,data cleaning
length,data cleaning
paste0,setup
if,data cleaning
rbind,setup
print,evaluation
paste0,setup
length,data cleaning
if,data cleaning
length,data cleaning
rm,setup
names,setup
unlink,setup
list.files,setup
paste0,setup
lapply,data cleaning
list.files,setup
for,data cleaning
length,data cleaning
paste0,setup
if,data cleaning
rbind,setup
print,evaluation
paste0,setup
length,data cleaning
if,data cleaning
length,data cleaning
rm,setup
names,setup
unlink,setup
bind_rows,data cleaning
group_by,data cleaning
summarize,data cleaning
sum,data cleaning
arrange,data cleaning
desc,data cleaning
ungroup,data cleaning
strsplit,data cleaning
unlist,data cleaning
substr,data cleaning
sub,data cleaning
which,exploratory
list.files,setup
paste0,setup
list,data cleaning
list.files,setup
list.files,setup
list.files,setup
list.files,setup
tibble,data cleaning
for,data cleaning
bind_rows,data cleaning
tibble,data cleaning
for,data cleaning
bind_rows,data cleaning
tibble,data cleaning
for,data cleaning
bind_rows,data cleaning
tibble,data cleaning
for,data cleaning
bind_rows,data cleaning
unlink,setup
bind_rows,data cleaning
names,setup
rm,setup
ls,setup
library,setup
library,setup
library,setup
strsplit,data cleaning
unlist,data cleaning
substr,data cleaning
sub,data cleaning
which,exploratory
list.files,setup
paste0,setup
lapply,data cleaning
list.files,setup
list.files,setup
list.files,setup
list.files,setup
list.files,setup
list.files,setup
list.files,setup
for,data cleaning
length,data cleaning
if,data cleaning
rbind,setup
if,data cleaning
length,data cleaning
rm,setup
for,data cleaning
length,data cleaning
if,data cleaning
rbind,setup
if,data cleaning
length,data cleaning
rm,setup
for,data cleaning
length,data cleaning
if,data cleaning
rbind,setup
if,data cleaning
length,data cleaning
rm,setup
for,data cleaning
length,data cleaning
if,data cleaning
rbind,setup
if,data cleaning
length,data cleaning
rm,setup
for,data cleaning
length,data cleaning
if,data cleaning
rbind,setup
if,data cleaning
length,data cleaning
rm,setup
mutate,data cleaning
as.character,data cleaning
names,setup
names,setup
names,setup
names,setup
names,setup
unlink,setup
bind_rows,data cleaning
rm,setup
ls,setup
library,setup
library,setup
load,setup
for,data cleaning
seq,setup
load,setup
